# RFI station list — official station names, the single source shared by iOS and backend.
#
# Source:    https://iechub.rfi.it/ArriviPartenze/ — the <select name="PlaceId"> station picker,
#            RFI's own authoritative list (same ids the live monitor uses).
# Extracted: 2026-08-31
# Entries:   2435 at extraction time.
#
# THIS IS A DATED SNAPSHOT, NOT A PERPETUAL TRUTH. Nothing guarantees RFI's
# list is stable, so the entry count is not a constant to rely on. Never assert
# the count in a test — assert properties (uniqueness, injectivity, known
# anchors). A count assertion proves nothing while it passes and breaks on any
# upstream change.
#
# Names are RFI's, verbatim, with ONE typographic normalization: where RFI
# types a backtick standing in for an apostrophe, it becomes an apostrophe
# (so "CITTA DI CASTELLO" carries a real apostrophe after CITTA).
# Structure is never touched — spacing, hyphens and slashes stay as RFI writes
# them. Regenerate with tools/generate-rfi-stations-tsv.mjs; never hand-edit.
#
# placeId	name
902	CARMAGNOLA
904	CARMIGNANO DI BRENTA
905	CARNATE USMATE
906	CARNIA
908	CARONIA
909	CAROVIGNO
910	CAROVILLI-ROCCASICURA
911	CARPANE'-VALSTAGNA
912	CARPI
913	CARPIGNANO SESIA
914	CARPINONE
915	CARRARA AVENZA
916	CARRITO-ORTONA
918	CARRUBA
919	CARSOLI
921	CASABIANCA
922	CASACALENDA GUARDIALFIERA
924	CASALBORDINO POLLUTRI
926	CASALBUTTANO
927	CASALE MONFERRATO
929	CASALECCHIO DI RENO
3506	CASALECCHIO GARIBALDI
930	CASALEGGIO
932	CASALETTO VAPRIO
934	CASALMAGGIORE
3613	CASALNUOVO
937	CASALPUSTERLENGO
938	CASARSA
939	CASCINA
5036	CASELLE TORINESE
945	CASERTA
946	CASINO DI TERRA
947	CASLETTO-ROGENO
948	CASORATE SEMPIONE
949	CASORIA-AFRAGOLA
950	CASSAGO-NIBIONNO-BULCIAGO
951	CASSANO D'ADDA
954	CASSINE
955	CASSINO
956	CASSOLA
959	CASTAGNARO
960	CASTAGNETO CARDUCCI-DONORATICO
961	CASTAGNO
962	CASTAGNOLE DELLE LANZE
964	CASTEGGIO
967	CASTEL D'ARIO
969	CASTEL DI SANGRO
970	CASTEL GANDOLFO
971	CASTEL LAGOPESOLE
972	CASTEL MADAMA
973	CASTEL S.ANGELO
974	CASTEL S.GIORGIO ROCCAPIEMONTE
975	CASTEL S.GIOVANNI
976	CASTEL S.PIETRO TERME
978	CASTELBOLOGNESE-RIOLO TERME
980	CASTELDACCIA
981	CASTELDARNE
3505	CASTELDEBOLE
982	CASTELFERRETTI-FALCONARA AEROPORTO
983	CASTELFIORENTINO
985	CASTELFRANCO EMILIA
987	CASTELFRANCO VENETO
988	CASTELGUELFO
989	CASTELL'ALFERO
991	CASTELLALTO CANZANO
958	CASTELLAMMARE DEL GOLFO
992	CASTELLAMMARE DI STABIA
993	CASTELLANETA
994	CASTELLANETA MARINA
997	CASTELLEONE
999	CASTELLETTO TICINO
1000	CASTELLINA IN CHIANTI-MONTERIGGIONI
1004	CASTELLO D'ANNONE
957	CASTELLO DI GODEGO
1005	CASTELLUCCHIO
1007	CASTELMAGGIORE
1009	CASTELNUOVO BELBO
1010	CASTELNUOVO BERARDENGA
1011	CASTELNUOVO DEL GARDA
1012	CASTELNUOVO DI GARFAGNANA
1013	CASTELPLANIO CUPRAMONTANA
1014	CASTELRAIMONDO CAMERINO
1015	CASTELROSSO
1016	CASTELVECCHIO PASCOLI
1018	CASTELVETRANO
1019	CASTELVETRO
1020	CASTIGLION DEL LAGO
1021	CASTIGLION FIORENTINO
1022	CASTIGLIONCELLO
38	CASTIGLIONE COSENTINO
1025	CASTIONE ANDEVENNO
1026	CASTIONE DEI MARCHESI
1027	CASTRO-POFI-VALLECORSA
1029	CASTRONNO
1031	CATANIA ACQUICELLA
3209	CATANIA AEROPORTO FONTANAROSSA
1032	CATANIA CENTRALE
39	CATANZARO
40	CATANZARO LIDO
1034	CATENANUOVA-CENTURIPE
1035	CATTOLICA S.GIOVANNI GABICCE
41	CAULONIA
1037	CAVA CARBONARA
1038	CAVA DEI TIRRENI
1040	CAVA TIGOZZI
1041	CAVAGNOLO BRUSASCO
1042	CAVALLEGGERI AOSTA
1043	CAVALLERMAGGIORE
1044	CAVANELLA D'ADIGE
1046	CAVARIA OGGIONA IERAGO
1047	CAVAZZALE
227	CAVI
1049	CECCANO
1050	CECCHINA
1051	CECINA
1053	CEFALU'
1054	CEGGIA
1055	CELANO-OVINDOLI
228	CELLE
42	CELLE BULGHERIA ROCCAGLORIOSA
1056	CENGIO
1057	CENTALLO
43	CENTOLA-PALINURO-MARINA DI CAMEROTA
1058	CEPRANO-FALVATERRA
5416	CERBARA
1061	CERCHIO
1062	CERDA
1063	CEREA
1064	CEREGNANO
5173	CERES
229	CERIALE
1065	CERIGNOLA CAMPAGNA
1066	CERNUSCO-MERATE
5444	CERQUETO
1067	CERRETO D'ESI
1068	CERTALDO
1069	CERTOSA DI PAVIA
1072	CERVIA-MILANO MARITTIMA
1073	CERVIGNANO-AQUILEIA-GRADO
780	CESANO BOSCONE
1075	CESANO DI ROMA
1077	CESENA
1078	CESENATICO
5267	CESI
44	CETRARO
1079	CEVA
1081	CHATILLON-SAINT-VINCENT
1083	CHIANCHE CEPPALONI
1084	CHIARAVALLE
1085	CHIARI
1087	CHIASSO
231	CHIAVARI
1089	CHIAVENNA
1090	CHIERI
1091	CHIETI
2663	CHIETI-MADONNA DELLE PIANE
1092	CHIEUTI SERRACAPRIOLA
1093	CHIGNOLO PO
1094	CHIOGGIA
1095	CHIOMONTE
1099	CHIUDUNO
1100	CHIURO
1101	CHIUSA
1103	CHIUSANO COSSOMBRATO
1104	CHIUSI-CHIANCIANO TERME
1105	CHIVASSO
1106	CIAMPINO
1110	CINISI TERRASINI
5039	CIRIE'
46	CIRO'
1111	CISANO CAPRINO BERGAMASCO
1112	CISMON DEL GRAPPA
1113	CISTERNA DI LATINA
1114	CISTERNINO
5419	CITTA' DI CASTELLO
5418	CITTA' DI CASTELLO - FORNACE
5417	CITTA' DI CASTELLO - ZONA INDUSTRIALE
1117	CITTADELLA
1118	CITTADUCALE
1119	CIVATE
5074	CIVIDALE DEL FRIULI
799	CIVIDATE-CALCIO
1120	CIVITA CASTELLANA-MAGLIANO
1121	CIVITA D'ANTINO-MORINO
1122	CIVITANOVA MARCHE-MONTEGRANARO
1123	CIVITAVECCHIA
1124	CIVITELLA PAGANICO
1125	CIVITELLA ROVETO
1127	CLASSE
1128	COCCAGLIO
1129	COCCONATO
1130	COCULLO
1134	CODOGNO
1135	CODOLA
1136	CODROIPO
232	COGOLETO
1138	COLFELICE
1139	COLICO
1140	COLLARMELE
1141	COLLE ISARCO
1142	COLLE MATTIA
1144	COLLECCHIO
1145	COLLEFERRO-SEGNI-PALIANO
1146	COLLEGNO
5450	COLLEVALENZA R.R.
1148	COLLEVECCHIO-POGGIO SOMMAVILLA
2333	COLLI DEL TRONTO
1149	COLLI DI MONTE BOVE
1151	COLOGNE
1152	COLONNA GALLERIA
1153	COLORNO
1154	COMIGNAGO
1155	COMISO
3222	COMO CAMERLATA
1158	COMO S.GIOVANNI
1159	COMPIOBBI
1160	COMPRE S.VINCENZO
48	CONDOFURI
1162	CONDOVE-CHIUSA S.MICHELE
1163	CONEGLIANO
1166	CONSELICE
1167	CONTEA LONDA
1168	CONTESSE
